dataset_id,model,m_minority,across_seed_sd,across_seed_iqr,across_seed_mean
openml_1489_phoneme,xgboost,10,0.19529321075341033,0.24771424941718578,0.7543463196605444
openml_1489_phoneme,xgboost,20,0.17242429584724592,0.18572541326284409,0.6984991788864136
openml_1489_phoneme,xgboost,50,0.14244427246834257,0.25095290690660477,0.7165930539369583
openml_1489_phoneme,xgboost,100,0.10402717790937967,0.1807403415441513,0.7262066185474396
openml_1590_adult,xgboost,10,0.07184002970143824,0.08060848247259855,0.8790580455301097
openml_1590_adult,xgboost,20,0.07282993724877213,0.019774824380874634,0.8524749651551247
openml_1590_adult,xgboost,50,0.06325889952247163,0.07793763652443886,0.8120014414191246
openml_1590_adult,xgboost,100,0.036419470585513314,0.03314173221588135,0.8208129808306694
openml_4534_phishingwebsite,xgboost,10,0.3880958904456789,0.7272840086370707,0.48189590908586977
openml_4534_phishingwebsite,xgboost,20,0.25804524547054875,0.3301016613841057,0.39135005325078964
openml_4534_phishingwebsite,xgboost,50,0.16174144938928348,0.21780315041542053,0.27213048934936523
openml_4534_phishingwebsite,xgboost,100,0.06882037281427925,0.04632590711116791,0.23225013613700868
openml_23512_higgs,xgboost,10,0.1012093284242567,0.15434036776423454,0.6984723672270775
openml_23512_higgs,xgboost,20,0.09915631895355528,0.13895157724618912,0.7230652317404747
openml_23512_higgs,xgboost,50,0.053718879832441585,0.07992206513881683,0.7044204443693161
openml_23512_higgs,xgboost,100,0.023193745774385877,0.04033021628856659,0.7063182294368744
openml_23517_numerai28_6,xgboost,10,0.040142230786113065,0.052566707134246826,0.5839949727058411
openml_23517_numerai28_6,xgboost,20,0.01365935649065661,0.007602177560329437,0.5807835698127747
openml_23517_numerai28_6,xgboost,50,0.011523278902043622,0.014172151684761047,0.5768711805343628
openml_23517_numerai28_6,xgboost,100,0.014080186103414088,0.016659170389175415,0.5749552071094512
openml_3_kr_vs_kp,tabpfn,10,0.14475159863861764,0.02779453992843628,0.0751282513141632
openml_3_kr_vs_kp,tabpfn,20,0.023000197768104715,0.001721411943435669,0.01001753807067871
openml_3_kr_vs_kp,tabpfn,50,0.004065624222410748,0.004731237888336182,0.004343944787979126
openml_3_kr_vs_kp,tabpfn,100,0.003069296764159284,0.004548817873001099,0.0050477683544158936
openml_24_mushroom,tabpfn,10,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,20,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,50,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,100,0.0,0.0,1.2993812561035156e-05
openml_1486_nomao,tabpfn,10,0.13262507719075914,0.10243071615695953,0.3087001621723175
openml_1486_nomao,tabpfn,20,0.14291991216465705,0.10273389518260956,0.2897163271903992
