dataset_id,model,cp_method,m_minority,metric,n,mean,median,sd_ddof1,iqr,q25,q75,min,max,across_seed_boot_ci_low,across_seed_boot_ci_high,uncertainty_type
openml_1486_nomao,xgboost,global_split_cp,50,singleton_rate,10,0.8988684172348759,0.8934426229508197,0.026178512185153928,0.018460757290004293,0.8860438125634702,0.9045045698534745,0.85884230378645,0.9505295227041927,0.8843609458871319,0.9149426954881763,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,average_set_size,10,0.8988684172348759,0.8934426229508197,0.026178512185153928,0.018460757290004293,0.8860438125634702,0.9045045698534745,0.85884230378645,0.9505295227041927,0.8844334832438706,0.9147551864210067,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,empty_rate,10,0.10113158276512405,0.10655737704918034,0.02617851218515392,0.018460757290004348,0.09549543014652546,0.11395618743652981,0.04947047729580734,0.14115769621354998,0.08497025968373713,0.11559589438560855,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,coverage_overall,10,0.8930219062817351,0.8874945596982446,0.02394823759146249,0.018315682576526826,0.8819454519077325,0.9002611344842594,0.8553605106629915,0.9396489191933846,0.879428405628899,0.9076309299289134,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,auroc,10,0.9954645038304936,0.9956159423130002,0.0006606803952302554,0.000932095737381955,0.9948993621276,0.995831457864982,0.9945500711887216,0.9965996607035369,0.9950711925895243,0.9958523790926295,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,auprc,10,0.9894200998219438,0.9895815850237699,0.0014622198190801922,0.0020174614570331872,0.9882821815402709,0.9902996429973041,0.9871876426342879,0.9918517030395796,0.9885409260131782,0.990259746987412,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,50,q_global,10,0.09499797224998474,0.07898488640785217,0.04741888043335343,0.02391296625137329,0.06791791319847107,0.09183087944984436,0.054099857807159424,0.20250964164733887,0.07070616975426673,0.12588701844215394,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,coverage_minority,10,0.8305738953783648,0.8377348908075165,0.024809257754873394,0.034408329101066504,0.8114525139664804,0.8458608430675469,0.7877094972067039,0.8649060436769934,0.8154393092940578,0.8448958862366684,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,coverage_majority,10,0.9377538586515028,0.9394800974817221,0.01158100089053808,0.014673030056864378,0.9283103168155971,0.9429833468724614,0.9224207961007311,0.9581640942323314,0.9310722989439479,0.9446181965881397,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,coverage_disparity,10,0.1071799632731382,0.10321735478305283,0.017163958305902758,0.026544280581342283,0.0937416583774747,0.12028593895881698,0.08514292822254288,0.13471129889402722,0.09753118477547398,0.11763373309860928,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,singleton_rate,10,0.9142028144494414,0.9144784564050485,0.01621497216267805,0.01976642971130138,0.9037429276077179,0.9235093573190193,0.88945306833019,0.9416799651820688,0.9047439431307123,0.9238502828956913,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,average_set_size,10,0.9142028144494414,0.9144784564050485,0.01621497216267805,0.01976642971130138,0.9037429276077179,0.9235093573190193,0.88945306833019,0.9416799651820688,0.9047439431307123,0.9239521978819092,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,empty_rate,10,0.08579718555055854,0.0855215435949514,0.016214972162678042,0.01976642971130131,0.07649064268098071,0.09625707239228203,0.058320034817931236,0.11054693166980996,0.0761497171043087,0.09518351951254897,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,coverage_overall,10,0.9071376759030901,0.9079500942985638,0.014543445572515832,0.01646597997968957,0.8987741186711156,0.9152400986508051,0.8839402292180473,0.9315247352386479,0.8986653126360077,0.915769621354998,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,auroc,10,0.9954645038304936,0.9956159423130002,0.0006606803952302554,0.000932095737381955,0.9948993621276,0.995831457864982,0.9945500711887216,0.9965996607035369,0.995072335404703,0.9958482392240161,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,auprc,10,0.9894200998219438,0.9895815850237699,0.0014622198190801922,0.0020174614570331872,0.9882821815402709,0.9902996429973041,0.9871876426342879,0.9918517030395796,0.9885547172637477,0.9902604523177468,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,global_split_cp,100,q_global,10,0.11313191652297974,0.1096411645412445,0.03217155869342011,0.03869764506816864,0.08804334700107574,0.12674099206924438,0.0766451358795166,0.1725093126296997,0.09534364417195319,0.13292485073208807,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,coverage_minority,10,0.9007110208227527,0.9281361097003555,0.0641914199690549,0.05954799390553567,0.8825545962417471,0.9421025901472828,0.7546978161503302,0.9608938547486033,0.859368969019807,0.9341797866937531,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,coverage_majority,10,0.9108448415922015,0.9110479285134037,0.020829806647391324,0.02584281072298944,0.8962225832656378,0.9220653939886272,0.8785540211210398,0.9510560519902518,0.8989434402924451,0.9234159220146221,across_seed_bootstrap_exploratory
