endpoint_tag,family,dataset_id,model,aggregation,d
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23517_numerai28_6,tabpfn,pooled_30_contrasts,-0.0013138681650161743
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23517_numerai28_6,(pooled_3_pipelines),pooled_30_contrasts,-0.00136107862918217
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_3_kr_vs_kp,logistic_regression,pooled_30_contrasts,-0.03090925568479752
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_3_kr_vs_kp,xgboost,pooled_30_contrasts,-0.0021693408489227295
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_3_kr_vs_kp,tabpfn,pooled_30_contrasts,-0.0005020260810852051
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_3_kr_vs_kp,(pooled_3_pipelines),pooled_30_contrasts,-0.011193540871601819
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_24_mushroom,logistic_regression,pooled_30_contrasts,-0.0033758595368524103
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_24_mushroom,xgboost,pooled_30_contrasts,-0.000953596830368042
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,-0.0014431521224068174
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1486_nomao,logistic_regression,pooled_30_contrasts,-0.01351382963553388
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1486_nomao,xgboost,pooled_30_contrasts,-0.0166253000497818
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1486_nomao,tabpfn,pooled_30_contrasts,-0.02116525173187256
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,-0.01710146047239608
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,-0.00673277887132121
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1489_phoneme,xgboost,pooled_30_contrasts,0.009613564610481263
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1489_phoneme,tabpfn,pooled_30_contrasts,-0.022020499408245086
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,-0.0063799045563616786
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1590_adult,logistic_regression,pooled_30_contrasts,0.0006588249656631739
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1590_adult,xgboost,pooled_30_contrasts,0.0088115394115448
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1590_adult,tabpfn,pooled_30_contrasts,0.016212180629372595
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_1590_adult,(pooled_3_pipelines),pooled_30_contrasts,0.008560848335526857
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_4534_phishingwebsite,logistic_regression,pooled_30_contrasts,0.022062455928658953
